Timestamp,id,type,x,y
06/06/2014 08:00,398396,check-in,99,77
06/06/2014 08:01,1772261,check-in,63,99
06/06/2014 08:01,835642,check-in,99,77
06/06/2014 08:01,398396,movement,98,77
06/06/2014 08:01,2096121,check-in,0,67
06/06/2014 08:01,398396,movement,97,77
06/06/2014 08:01,1772261,movement,63,98
06/06/2014 08:01,398396,movement,96,77
06/06/2014 08:01,1772261,movement,63,97
06/06/2014 08:01,1772261,movement,63,96
06/06/2014 08:01,835642,movement,98,76
06/06/2014 08:02,1772261,movement,64,95
06/06/2014 08:02,398396,movement,95,76
06/06/2014 08:02,835642,movement,97,77
06/06/2014 08:02,1772261,movement,65,94
06/06/2014 08:02,835642,movement,96,77
06/06/2014 08:02,1772261,movement,64,93
06/06/2014 08:02,398396,movement,94,76
06/06/2014 08:02,835642,movement,95,76
06/06/2014 08:02,1772261,movement,64,92
06/06/2014 08:02,835642,movement,94,77
06/06/2014 08:02,2096121,movement,1,67
06/06/2014 08:02,1772261,movement,63,91
06/06/2014 08:02,398396,movement,93,77
06/06/2014 08:02,835642,movement,93,77
06/06/2014 08:02,1772261,movement,62,90
06/06/2014 08:02,835642,movement,92,77
06/06/2014 08:02,398396,movement,92,77
06/06/2014 08:02,2096121,movement,2,66
06/06/2014 08:02,1772261,movement,61,89
06/06/2014 08:02,1772261,movement,60,89
06/06/2014 08:02,2096121,movement,3,67
06/06/2014 08:02,1772261,movement,59,88
06/06/2014 08:02,398396,movement,91,78
06/06/2014 08:02,1772261,movement,58,88
06/06/2014 08:03,1772261,movement,57,87
06/06/2014 08:03,398396,movement,90,78
06/06/2014 08:03,2096121,movement,4,67
06/06/2014 08:03,1772261,movement,56,86
06/06/2014 08:03,398396,movement,89,78
06/06/2014 08:03,1772261,movement,55,86
06/06/2014 08:03,2096121,movement,5,66
06/06/2014 08:03,1772261,movement,54,86
06/06/2014 08:03,2096121,movement,6,67
06/06/2014 08:03,398396,movement,88,79
06/06/2014 08:03,1772261,movement,53,85
06/06/2014 08:03,1772261,movement,52,84
06/06/2014 08:03,1288298,check-in,63,99
06/06/2014 08:03,398396,movement,87,80
06/06/2014 08:03,1772261,movement,51,83
06/06/2014 08:03,2096121,movement,7,66
06/06/2014 08:03,1772261,movement,50,84
06/06/2014 08:03,2096121,movement,8,66
06/06/2014 08:03,398396,movement,86,81
06/06/2014 08:03,1772261,movement,49,83
06/06/2014 08:03,1772261,movement,48,82
06/06/2014 08:04,2096121,movement,9,66
06/06/2014 08:04,1772261,movement,47,81
06/06/2014 08:04,398396,movement,85,80
06/06/2014 08:04,615627,check-in,63,99
06/06/2014 08:04,1772261,movement,46,80
06/06/2014 08:04,2096121,movement,10,67
06/06/2014 08:04,398396,movement,84,79
06/06/2014 08:04,1772261,movement,45,79
06/06/2014 08:04,1288298,movement,63,98
06/06/2014 08:04,1772261,movement,44,78
06/06/2014 08:04,1288298,movement,64,97
06/06/2014 08:04,2096121,movement,11,67
06/06/2014 08:04,398396,movement,83,79
06/06/2014 08:04,1772261,movement,43,78
06/06/2014 08:04,328117,check-in,63,99
06/06/2014 08:04,1772261,movement,42,77
06/06/2014 08:04,1288298,movement,63,96
06/06/2014 08:04,1772261,movement,41,76
06/06/2014 08:04,398396,movement,82,78
06/06/2014 08:04,2096121,movement,12,67
06/06/2014 08:04,1288298,movement,64,95
06/06/2014 08:04,1772261,movement,40,75
06/06/2014 08:04,1288298,movement,65,94
06/06/2014 08:04,398396,movement,81,77
06/06/2014 08:04,1772261,movement,39,74
06/06/2014 08:04,2096121,movement,13,66
06/06/2014 08:04,615627,movement,63,98
06/06/2014 08:04,1772261,movement,38,74
06/06/2014 08:04,1288298,movement,64,93
